Advisory,Advisory ID,Published Date
iOS 17.5.1 and iPadOS 17.5.1This update has no published CVE entries.,"iPhone XS and later, iPad Pro 13-inch, iPad Pro 12.9-inch 2nd generation and later, iPad Pro 10.5-inch, iPad Pro 11-inch 1st generation and later, iPad Air 3rd generation and later, iPad 6th generation and later, and iPad mini 5th generation and later",20 May 2024
Safari 17.5,macOS Monterey and macOS Ventura,13 May 2024
iOS 17.5 and iPadOS 17.5,"iPhone XS and later, iPad Pro 13-inch, iPad Pro 12.9-inch 2nd generation and later, iPad Pro 10.5-inch, iPad Pro 11-inch 1st generation and later, iPad Air 3rd generation and later, iPad 6th generation and later, and iPad mini 5th generation and later",13 May 2024
iOS 16.7.8 and iPadOS 16.7.8,"iPhone 8, iPhone 8 Plus, iPhone X, iPad 5th generation, iPad Pro 9.7-inch, and iPad Pro 12.9-inch 1st generation",13 May 2024
macOS Sonoma 14.5,macOS Sonoma,13 May 2024
macOS Ventura 13.6.7,macOS Ventura,13 May 2024
macOS Monterey 12.7.5,macOS Monterey,13 May 2024
watchOS 10.5,Apple Watch Series 4 and later,13 May 2024
tvOS 17.5,Apple TV HD and Apple TV 4K (all models),13 May 2024
iTunes 12.13.2 for Windows,Windows 10 and later,08 May 2024
visionOS 1.1.2This update has no published CVE entries.,Apple Vision Pro,09 Apr 2024
Safari 17.4.1,macOS Monterey and macOS Ventura,25 Mar 2024
macOS Sonoma 14.4.1,macOS Sonoma,25 Mar 2024
macOS Ventura 13.6.6,macOS Ventura,25 Mar 2024
iOS 17.4.1 and iPadOS 17.4.1,"iPhone XS and later, iPad Pro 12.9-inch 2nd generation and later, iPad Pro 10.5-inch, iPad Pro 11-inch 1st generation and later, iPad Air 3rd generation and later, iPad 6th generation and later, and iPad mini 5th generation and later",21 Mar 2024
iOS 16.7.7 and iPadOS 16.7.7,"iPhone 8, iPhone 8 Plus, iPhone X, iPad 5th generation, iPad Pro 9.7-inch, and iPad Pro 12.9-inch 1st generation",21 Mar 2024
visionOS 1.1.1,Apple Vision Pro,21 Mar 2024
GarageBand 10.4.11,macOS Ventura and macOS Sonoma,12 Mar 2024
Safari 17.4,macOS Monterey and macOS Ventura,07 Mar 2024
macOS Sonoma 14.4,macOS Sonoma,07 Mar 2024
macOS Ventura 13.6.5,macOS Ventura,07 Mar 2024
macOS Monterey 12.7.4,macOS Monterey,07 Mar 2024
watchOS 10.4,Apple Watch Series 4 and later,07 Mar 2024
tvOS 17.4,Apple TV HD and Apple TV 4K (all models),07 Mar 2024
visionOS 1.1,Apple Vision Pro,07 Mar 2024
Xcode 15.3,macOS Sonoma 14 and later,05 Mar 2024
